countrycode,country,currency_unit,year,GDP,net population growth,CPI,employment rate,labsh,xr,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GDP
AUS,Australia,Australian Dollar,1979,,,,0.424045962,0.671457112,0.894640916,0.431903362,0.584016919,0.283297092,0.124798976,0.161838323,-0.133266211,-0.02068509,0.413889498,0.413534135,0.596601367,0.336824507,0.352681458,0.367370695,0.84792304,
AUS,Australia,Australian Dollar,1980,2.7164,0.012170263,10.13584,0.014768078,0.001261269,0.878244,0.111695445,0.003532571,0.08041702,0.014158962,0.063864212,0.141474638,0.874780337,0.109503871,0.089382863,0.134098977,0.056885686,0.028616594,0.136190245,0.09287041,2.7164
AUS,Australia,Australian Dollar,1981,4.181536,0.012943837,9.487666,-0.000381538,0.00770336,0.870215,0.116652261,0.01240445,0.042923559,-0.01220707,-0.083154251,0.076584276,-0.183341929,0.104287344,0.113863133,0.125933152,0.055314128,0.051605132,0.133048876,-0.036367855,4.181536
AUS,Australia,Australian Dollar,1982,-0.3647,0.01366764,11.35182,-0.015983968,-0.002571282,0.985863,-0.029858903,0.047459341,-0.127765752,0.047488022,-0.001127603,0.028271356,-0.362803915,-0.024338299,-0.056758577,-0.026207253,-0.013162938,6.03E-05,-0.020829369,-0.090090473,-0.3647
AUS,Australia,Australian Dollar,1983,-0.18483,0.014381933,10.03891,-0.029561419,-0.044002066,1.110015,-0.055490189,-0.042826342,0.038034421,-0.023091373,-0.052492723,-0.18283848,0.171456888,-0.051030803,-0.042225936,-0.050459192,-0.07242448,-0.068043972,-0.047157446,-0.018730593,-0.18483
AUS,Australia,Australian Dollar,1984,6.576746,0.015040172,3.960396,0.01944983,-0.002185735,1.139519,0.036543092,-0.026557717,0.046280214,0.024700236,0.063459659,0.067291621,0.040609137,0.035117313,0.042547841,0.043211804,0.045620433,0.073492932,0.040040884,-0.042870832,6.576746
AUS,Australia,Australian Dollar,1985,5.055644,0.015592774,6.734694,0.018711282,-0.004354672,1.431895,-0.151472009,0.01494576,0.008386299,0.011823577,0.008666755,0.01109825,0.507723577,-0.147209877,-0.144075597,-0.157623361,-0.060706012,-0.028622779,-0.115613499,-0.180308234,5.055644
AUS,Australia,Australian Dollar,1986,1.820488,0.016210132,9.05035,0.027525828,-0.015341515,1.495974,0.028696994,0.001498939,-0.056809014,0.045052924,-0.127467865,-0.104579125,-0.414397412,0.035559866,0.047458599,-0.018288497,0.107777853,0.154200516,0.049556497,0.058109681,1.820488
AUS,Australia,Australian Dollar,1987,5.297433,0.016685964,8.533022,0.006750522,-0.029673609,1.42818,0.098609452,-0.045099638,0.026056027,-0.014831915,0.003761657,-0.088516207,-0.405616943,0.121222571,0.094583911,0.062825201,0.086042198,0.117389049,0.102248265,0.235196178,5.297433
AUS,Australia,Australian Dollar,1988,4.442069,0.016627768,7.21594,0.020947778,-0.006701023,1.279908,0.194950986,-0.008278137,0.059494078,-0.006312059,0.031590647,0.138283828,-0.022463207,0.185242986,0.193945183,0.157988856,0.112380455,0.017341077,0.192384693,0.193642414,4.442069
AUS,Australia,Australian Dollar,1989,4.310985,0.015908453,7.533903,0.025487911,0.015410101,1.264597,0.075678538,0.016369768,-0.030905579,0.023175782,0.04300652,0.146129313,-0.896988906,0.071587492,0.085013553,0.041956191,0.029728008,0.018040427,0.075038671,-0.028213237,4.310985
AUS,Australia,Australian Dollar,1990,1.395366,0.014754705,7.333022,0.001217991,0.012194668,1.281057,0.016026892,0.041443461,-0.165419688,0.000821048,0.061336653,-0.082405768,-3.258461538,0.011408779,0.018734303,0.071798774,0.024701623,0.059795372,-0.00941567,-0.043274331,1.395366
AUS,Australia,Australian Dollar,1991,-1.33518,0.013480655,3.176675,-0.034865762,-0.013894369,1.283756,0.028332197,0.033833586,-0.033996765,0.060369456,-0.089074257,-0.056378799,-4.651226158,0.024923605,-0.01791272,0.014832578,0.167231387,0.066611159,-0.045036749,0.017315416,-1.33518
AUS,Australia,Australian Dollar,1992,2.996918,0.0123874,1.012231,-0.017202312,-0.016255988,1.361648,-0.071772305,-0.044398506,0.03306861,-0.009372243,0.23098524,0.083266379,0.181902985,-0.040132518,-0.05106344,-0.068558182,-0.213767088,-0.085830447,-0.076866467,-0.037189841,2.996918
AUS,Australia,Australian Dollar,1993,4.099186,0.011552582,1.753653,-0.007307561,-0.009774798,1.47056,-0.049716306,-0.000946965,0.047904168,0.000753585,-0.079252212,0.053469085,-0.831886346,-0.057873975,-0.067485362,-0.078502201,0.056067336,-0.032223838,-0.09429457,-0.098391075,4.099186
