countrycode,country,currency_unit,year,GDP,net population growth,CPI,employment rate,labsh,xr,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GDP
CAN,Canada,Canadian Dollar,1979,,24.161124,,10.76099491,0.683542669,1.171425,0.369283795,0.589904428,0.276935786,0.133906245,0.282347202,-0.276965648,-0.006128063,0.334272087,0.333063334,0.586082995,0.298082292,0.290728569,0.319645405,0.917081118,
CAN,Canada,Canadian Dollar,1980,2.155536079,0.010585683,10.12922,0.018922735,-0.019205362,-0.001885168,0.108189921,0.010966505,-0.040407653,0.017959903,0.020691049,0.014322922,-0.071994836,0.09552598,0.093661894,0.095714046,0.120649287,0.070522977,0.097195754,0.098470252,2.155536079
CAN,Canada,Canadian Dollar,1981,3.474064895,0.01029128,12.47161,0.01674889,0.03329446,0.025394495,0.081507601,-0.023423343,0.058093148,0.054770117,-0.030668891,-0.001196092,0.076028437,0.094372863,0.093092628,0.025918458,0.079383594,0.093677034,0.042103349,-0.136470929,3.474064895
CAN,Canada,Canadian Dollar,1982,-3.187262084,0.010068644,10.76897,-0.044553488,0.021111008,0.029047258,0.047742638,-0.006602411,-0.194178009,0.091521259,-0.027909124,-0.194099706,0.225682969,0.072605242,0.024090671,0.029291174,0.02947836,0.053767162,0.005588713,-0.099658066,-3.187262084
CAN,Canada,Canadian Dollar,1983,2.601339447,0.010229911,5.863588,-0.001815919,-0.042602346,-0.001067222,0.048356352,-0.01210659,0.039159183,0.019960176,0.014433288,0.041301649,-0.055905952,0.07286681,0.023911986,0.015208769,0.022365374,0.030593351,-0.004385905,0.073287356,2.601339447
CAN,Canada,Canadian Dollar,1984,5.908457042,0.010863425,4.304778,0.015390122,-0.023332782,0.050835081,-0.021461301,-0.033142839,0.040072518,0.006877312,0.114659409,0.112055503,-0.452930611,0.003110163,-0.024781032,-0.055242333,-0.007451088,0.015371421,-0.041978538,-0.008148245,5.908457042
CAN,Canada,Canadian Dollar,1985,4.737399897,0.011787281,3.962031,0.025384132,-0.004609958,0.054373005,-0.015810378,0.002030462,0.045427393,0.067704352,-0.03616088,0.032160536,0.938013398,-0.010853268,-0.032828953,-0.077419483,0.00330893,-0.037919603,-0.043720268,-0.0538746,4.737399897
CAN,Canada,Canadian Dollar,1986,2.144972051,0.012844841,4.194786,0.018560969,0.032107088,0.0175884,0.029781864,0.034370619,0.017959727,0.030341845,-0.149761148,-0.059808847,0.092426731,0.020484411,0.018503726,0.001202125,0.16181338,0.121406533,0.012166161,-0.086937211,2.144972051
CAN,Canada,Canadian Dollar,1987,4.072959129,0.013706162,4.356109,0.016879794,-0.009086573,-0.045705889,0.071365014,-0.0232604,0.017346804,-0.037443262,-0.052992334,-0.090955144,-0.690417327,0.087387693,0.077261499,0.083447594,0.076007819,0.116495096,0.09312921,0.136313653,4.072959129
CAN,Canada,Canadian Dollar,1988,4.410110977,0.014119983,4.028234,0.020276418,0.011971411,-0.071858169,0.121270827,-0.000840196,0.060630418,-0.010302526,0.015322461,0.071770646,0.362042116,0.111467839,0.120489754,0.11270825,0.125498641,0.084631192,0.115624986,0.05691862,4.410110977
CAN,Canada,Canadian Dollar,1989,2.316979303,0.013928794,4.983622,0.005878036,0.017102017,-0.03795917,0.068968597,0.002235334,-0.008159606,-0.000909041,0.009672671,0.010923161,-0.451878951,0.074217404,0.082530498,0.082469288,-0.02524041,0.013818874,0.068296758,-0.049431414,2.316979303
CAN,Canada,Canadian Dollar,1990,0.164672536,0.013312128,4.780477,-0.009167667,0.024980961,-0.014541206,0.050255245,0.043978283,-0.102630133,-0.016681388,0.056100208,-0.022450332,6.605652345,0.024047402,0.056068996,0.13052504,0.036032299,0.049240085,0.018263982,-0.073891268,0.164672536
CAN,Canada,Canadian Dollar,1991,-2.086085477,0.012617079,5.625864,-0.02968129,0.032711216,-0.018048324,0.062985835,0.024255501,-0.030574661,0.066385861,-0.076457564,-0.036129899,0.462212297,0.064556916,-0.004518425,0.05844557,0.120112957,0.08242117,-0.000367662,-0.106609201,-2.086085477
CAN,Canada,Canadian Dollar,1992,0.900259572,0.012033464,1.490133,-0.021572552,0.006699322,0.05499469,-0.060178027,-0.014250969,-0.05479096,-0.010187818,0.218550041,0.102132907,0.206540466,-0.039570267,-0.055250438,-0.033588173,-0.161385756,-0.091450976,-0.05301323,-0.101638378,0.900259572
CAN,Canada,Canadian Dollar,1993,2.660856578,0.011463765,1.865079,-0.003370821,-0.021707363,0.067301633,-0.033831896,0.013617093,0.040897471,-0.013315117,0.021512383,0.086487675,-0.045005492,-0.047675038,-0.066865157,-0.043167275,0.050522488,-0.019895146,-0.051762769,-0.021559439,2.660856578
CAN,Canada,Canadian Dollar,1994,4.494466214,0.010955841,0.1655629,0.008625399,-0.037409995,0.058573506,-0.043516962,-0.012143482,0.01670955,-0.044832727,0.057569749,0.040689738,-0.224104115,-0.049619611,-0.006222683,-0.04927184,0.033859876,0.036811182,-0.030169699,0.028060189,4.494466214
CAN,Canada,Canadian Dollar,1995,2.69397627,0.010513177,2.14876,0.005340162,-0.017831052,0.004981187,0.002048325,-0.005611857,-0.034199352,-0.054089658,0.037219034,-0.011023888,-0.298915374,-0.005834478,0.03031434,0.011728968,0.063863226,0.074551861,0.005723854,0.04294594,2.69397627
CAN,Canada,Canadian Dollar,1996,1.619172469,0.010069382,1.570531,-0.000171024,-0.009201471,-0.006537622,0.020651047,0.022099676,-0.029120478,-0.059879232,0.022955838,0.024828521,-0.22174381,0.00927472,0.026712544,0.040644985,0.013912776,-0.002206817,0.024039863,0.016109827,1.619172469
CAN,Canada,Canadian Dollar,1997,4.280040078,0.009660084,1.621216,0.009572873,-0.004825727,0.015510689,-0.009362966,-0.007616442,0.096220848,0.011720536,0.070313717,0.148637912,-0.178005507,0.006206356,0.01299608,-0.063657685,-0.047131098,-0.043403446,0.036062764,0.016511558,4.280040078
CAN,Canada,Canadian Dollar,1998,3.896151839,0.009403786,0.9959425,0.013774705,0.018887464,0.071389013,-0.059964266,-0.01081064,-0.024128847,0.038799638,0.019712983,0.020593159,-0.796039233,-0.046211341,-0.044539682,-0.095815887,-0.052041779,-0.029133261,-0.022264521,-0.086723418,3.896151839
CAN,Canada,Canadian Dollar,1999,5.162913598,0.009341194,1.734843,0.018034882,-0.024669117,0.001529248,-0.006288029,-0.034485891,-0.023274221,-0.005007073,0.044080124,-0.015666368,-3.075333047,0.014141593,-6.28E-05,-0.027260131,-0.011215511,0.013891276,0.041087232,0.100936356,5.162913598
CAN,Canada,Canadian Dollar,2000,5.177635689,0.009433804,2.71944,0.013517323,-0.023013701,-0.000418425,0.028704777,-0.037132551,0.001449772,-0.034742069,0.116328733,0.064510761,1.172427538,0.035836776,0.023753102,0.053911288,-0.027152388,-0.021946779,0.088186822,0.214073074,5.177635689
CAN,Canada,Canadian Dollar,2001,1.789972836,0.009535973,2.52512,-0.001359599,0.005330912,0.042859339,-0.000984228,0.022882266,-0.043617239,0.036911523,-0.036600278,-0.030479413,-0.423070365,-0.013310892,-0.00320969,-0.016229705,-0.01530169,-0.039419588,0.039962794,0.009817179,1.789972836
CAN,Canada,Canadian Dollar,2002,3.018050546,0.009656389,2.258394,0.013592974,3.26E-05,0.013273515,0.017875151,0.019953633,-0.000600807,-0.000536931,-0.015456209,0.011672072,-0.118186351,0.014581153,0.022006188,0.03248619,-0.026344657,-0.022491703,0.076932425,-0.002540937,3.018050546
CAN,Canada,Canadian Dollar,2003,1.801518098,0.009935929,2.758563,0.012205637,-0.017719572,-0.107222775,0.133718165,-0.018478336,0.043996792,0.011150696,-0.039190247,-0.040821853,-0.016768424,0.148135103,0.125955939,0.12787778,0.077447457,0.085285744,0.147816997,0.133444554,1.801518098
