year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,5.016742816,4.951804251,5.081681382,0.519937385,,
1986,1.897201725,1.757605983,2.036797466,0.540895895,,
1987,3.241314908,3.191045697,3.291584119,0.554677555,,
1988,4.438759627,4.426858623,4.45066063,0.586536447,,
1989,4.269694567,4.191286307,4.348102827,0.609202798,,
1990,1.413480066,1.388763094,1.438197038,0.630972702,,
1991,-1.267318536,-1.427286793,-1.10735028,0.62847981,,
1992,2.975434875,2.931903389,3.018966361,0.631080336,,
1993,4.101546996,4.096079421,4.107014571,0.656535386,,
1994,4.717764459,4.661306538,4.774222381,0.682668604,,
1995,7.941430201,7.724354831,8.15850557,0.708840961,,
1996,3.114159895,2.991519751,3.236800039,0.736162669,,
1997,4.184476168,4.168887405,4.20006493,0.764934047,,
1998,4.902566537,4.84635239,4.958780684,0.800228193,,
1999,4.085542965,4.06440376,4.106682171,0.839732858,,
2000,3.403262156,3.38394756,3.422576752,0.872586799,,
2001,1.160694361,0.981693542,1.339695179,0.890372742,,
2002,1.188797111,0.994626159,1.382968063,0.926116993,,
2003,3.183983791,3.119513548,3.248454033,0.954922242,,
2004,3.942117538,3.928909467,3.95532561,0.99508099,,
2005,4.13010486,4.096274729,4.16393499,1.026528916,,
2006,2.720964101,2.639925303,2.8020029,1.054521266,,
2007,4.316416725,4.243400873,4.389432577,1.094260768,,
2008,2.460641414,2.417885896,2.503396931,1.133402638,,
2009,1.435110521,1.366857094,1.503363948,1.154561362,,
2010,0.83115486,0.746659161,0.915650559,1.179642327,,
2011,2.801656911,2.703220321,2.900093501,1.2087765,,
2012,3.858877928,3.758293591,3.959462266,1.256128656,,
2013,2.176786209,2.166530183,2.187042235,1.288790663,,
2014,2.523554634,2.516118223,2.530991045,1.321821485,,
2015,2.280535412,2.259449259,2.301621566,1.350534154,,
2016,2.69716278,2.667208021,2.727117539,1.38756098,,
2017,2.398566181,2.380823044,2.416309318,1.419418367,,
2018,1.291851352,1.2152948,1.368407903,1.460169477,,
2019,2.478647325,2.439060975,2.518233675,1.49102504,,
2020,2.940490749,2.864730935,3.016250564,1.534868494,1.533738896,1.535998092
2021,2.447439368,2.404351406,2.490527329,1.572433469,1.571772126,1.573094813
2022,1.674993842,1.641366929,1.708620756,1.598771633,1.598242872,1.599300394
2023,1.469188002,1.421017557,1.517358447,1.622260594,1.621490459,1.62303073
2024,1.829248334,1.792513245,1.865983423,1.651935769,1.65133983,1.652531708
2025,1.445581069,1.402457714,1.488704424,1.67581584,1.67510347,1.67652821
2026,1.036806703,0.974718169,1.098895237,1.693190811,1.692150321,1.6942313
2027,1.709008595,1.652686569,1.76533062,1.722127587,1.721173948,1.723081227
2028,2.799346336,2.771175242,2.82751743,1.770335903,1.769850761,1.770821045
2029,2.805638131,2.772481188,2.838795075,1.820005122,1.819418133,1.820592111
2030,3.071096722,3.015136477,3.127056967,1.87589924,1.87488076,1.876917719
2031,3.511635566,3.468748728,3.554522404,1.941773985,1.940969471,1.942578498
