year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,4.092852735,4.054415753,4.131289718,1.516789364,,
1986,3.22576436,3.108212573,3.343316147,1.564573395,,
1987,1.604250031,1.422883976,1.785616086,1.648946744,,
1988,5.492328497,5.348492825,5.63616417,1.743471193,,
1989,2.472874966,2.410185735,2.535564197,1.788410953,,
1990,0.679736206,0.629244957,0.730227456,1.801533517,,
1991,-1.157139398,-1.259296398,-1.054982397,1.781660411,,
1992,0.363559094,0.274662259,0.452455929,1.788806332,,
1993,2.442108512,2.384641212,2.499575811,1.833344586,,
1994,3.700338415,3.630414368,3.770262462,1.903855187,,
1995,4.225815285,3.969531427,4.482099143,1.952054517,,
1996,4.207786623,4.033155346,4.382417899,1.999460999,,
1997,4.817067309,4.725749991,4.908384626,2.097615054,,
1998,3.208942963,3.150263521,3.267622405,2.163773274,,
1999,3.042366853,3.013067944,3.071665762,2.228472506,,
2000,3.475387325,3.31683573,3.633938921,2.310310242,,
2001,3.803490518,3.712205238,3.894775799,2.358195033,,
2002,4.57262657,4.430943026,4.714310115,2.408264767,,
2003,3.049723018,3.034776859,3.064669177,2.481232538,,
2004,2.421854135,2.323934366,2.519773903,2.53968119,,
2005,-0.002322013,-0.313718254,0.309074229,2.605542235,,
2006,2.576012491,2.451595833,2.70042915,2.672872174,,
2007,2.191206955,2.05516962,2.327244291,2.733532657,,
2008,-0.276474475,-0.353129968,-0.199818983,2.726982071,,
2009,3.498977702,3.330816887,3.667138517,2.611157428,,
2010,2.128831144,1.982924571,2.274737717,2.666812634,,
2011,0.932241089,0.850621926,1.013860252,2.705683119,,
2012,1.530114254,1.454960164,1.605268344,2.745453618,,
2013,1.974285629,1.850457423,2.098113835,2.797343195,,
2014,2.956891476,2.916671579,2.997111374,2.88101634,,
2015,2.576529681,2.54354334,2.609516021,2.956573779,,
2016,2.317490559,2.282282907,2.352698211,3.023494748,,
2017,2.149637796,2.103044097,2.196231495,3.088029825,,
2018,2.132390887,2.073849523,2.19093225,3.139010897,,
2019,2.256086528,2.200467486,2.311705569,3.191493408,,
2020,3.782654885,3.751071492,3.814238278,3.312216589,3.311208607,3.313224571
2021,2.357281041,2.283711346,2.430850735,3.390294843,3.387858055,3.39273163
2022,2.321792194,2.296613718,2.34697067,3.469010444,3.468156819,3.469864068
2023,1.004633725,0.908039618,1.101227831,3.503861292,3.500510433,3.507212152
2024,1.166764431,1.048452218,1.285076644,3.5447431,3.540597604,3.548888596
2025,1.017067797,0.938344621,1.095790974,3.58079554,3.578005006,3.583586075
2026,1.237055101,1.164166389,1.309943812,3.625091954,3.622481958,3.62770195
2027,1.878456698,1.749119456,2.007793939,3.693187737,3.688499143,3.697876331
2028,2.26642251,2.182479966,2.350365054,3.776890975,3.773790819,3.779991131
2029,3.003627756,2.944400772,3.062854739,3.890334721,3.888097782,3.892571659
2030,2.654548625,2.59764593,2.71145132,3.993605547,3.991391842,3.995819253
2031,3.349011614,3.170584879,3.527438348,4.127351861,4.120226201,4.134477521
