year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,2.771855187,2.751086175,2.792624198,1.337110299,,
1986,2.904354302,2.870550307,2.938158297,1.375351277,,
1987,4.302773156,4.264570405,4.340975907,1.419251948,,
1988,4.190346476,4.173929402,4.20676355,1.47878073,,
1989,3.358585748,3.32717259,3.389998907,1.528887492,,
1990,2.077458183,2.054485381,2.100430984,1.559247756,,
1991,1.54766871,1.53840058,1.55693684,1.583235965,,
1992,0.806938301,0.776702616,0.837173987,1.596444514,,
1993,-0.778005016,-0.842779643,-0.713230388,1.582829944,,
1994,2.173545773,2.139585278,2.207506268,1.61687699,,
1995,2.255938905,2.189078133,2.322799677,1.663553589,,
1996,1.431652645,1.402442444,1.460862845,1.684627233,,
1997,1.800893016,1.772167925,1.829618108,1.715459487,,
1998,1.772364893,1.730418863,1.814310923,1.746519856,,
1999,1.661988137,1.63330541,1.690670863,1.774913512,,
2000,3.781014341,3.761437822,3.800590859,1.84212869,,
2001,-0.038306356,-0.091682105,0.015069393,1.878075466,,
2002,-1.010934215,-1.130886737,-0.890981692,1.882844707,,
2003,0.262159042,0.186683367,0.337634717,1.885454836,,
2004,1.343219026,1.29415309,1.392284962,1.912296061,,
2005,2.606914231,2.552417972,2.66141049,1.927935754,,
2006,1.793705021,1.756771397,1.830638645,1.962458137,,
2007,1.480662044,1.432211112,1.529112976,1.991641322,,
2008,-1.00985927,-1.072774688,-0.946943853,1.972481477,,
2009,0.1424098,0.082255999,0.2025636,1.868315968,,
2010,-1.644412565,-1.683957795,-1.604867335,1.900325748,,
2011,-1.91101693,-1.946197671,-1.875836189,1.913767386,,
2012,-2.931849154,-2.985851049,-2.87784726,1.856719783,,
2013,-1.840786523,-1.862444791,-1.819128254,1.822536357,,
2014,-0.033488144,-0.081869837,0.01489355,1.822453476,,
2015,0.836224766,0.785828305,0.886621227,1.836637711,,
2016,1.33722069,1.294124646,1.380316734,1.860393935,,
2017,1.597486433,1.538148598,1.656824268,1.891422684,,
2018,0.948159603,0.905405063,0.990914143,1.908933682,,
2019,0.571292576,0.535804933,0.606780218,1.918482816,,
2020,-0.398579749,-0.415895269,-0.38126423,1.910836132,1.910503936,1.911168327
2021,0.165869337,0.124555312,0.207183363,1.914005623,1.91321618,1.914795066
2022,0.535122247,0.501590123,0.568654371,1.924247893,1.923606086,1.924889699
2023,0.704750697,0.681155617,0.728345777,1.937809043,1.937355015,1.938263071
2024,-0.467509886,-0.534657668,-0.400362104,1.928749594,1.927448399,1.93005079
2025,1.049992435,0.956339254,1.143645615,1.949001319,1.947194984,1.950807654
2026,1.713170241,1.66320513,1.763135353,1.98239103,1.981417209,1.98336485
2027,4.048519812,4.008548793,4.088490831,2.062648523,2.061856141,2.063440905
2028,5.484337247,5.37031618,5.598358313,2.175771125,2.173419271,2.178122978
2029,4.244011592,4.19800634,4.290016844,2.268111103,2.267110134,2.269112072
2030,1.42050176,1.160525166,1.680478354,2.300329661,2.294433103,2.306226219
2031,-2.730555954,-3.106292411,-2.354819497,2.237517873,2.228874696,2.24616105
