countrycode,country,currency_unit,year,GDP,net population growth,CPI,employment rate,labsh,xr,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GDP
FRA,France,Euro,1979,,54.917118,,22.57134056,0.68837136,0.64858164,0.462599337,0.560113192,0.284184605,0.169570148,0.169703081,-0.202093795,0.018522792,0.448343098,0.404633373,0.558144271,0.435483664,0.398974448,0.352868199,1.027841568,
FRA,France,Euro,1980,1.624298104,0.004450507,13.56258,-0.000424494,0.004211377,-0.00677923,0.125229332,0.006564762,0.047689132,0.023245336,0.017592975,0.11874415,-0.008602591,0.127325645,0.112489332,0.131207281,0.098012533,0.110096755,0.160659975,0.058678683,1.624298104
FRA,France,Euro,1981,1.068890919,0.0048724,13.3144,-0.00622732,-0.003224634,0.286122795,-0.102864063,0.014360021,-0.075588868,0.037522166,0.039570229,-0.011694407,-0.085951451,-0.092039021,-0.113540579,-0.106266403,-0.102099672,-0.072550279,-0.108292689,-0.22328482,1.068890919
FRA,France,Euro,1982,2.505612288,0.005207207,11.97848,-0.002755782,0.001349632,0.209305179,-0.054109884,0.003167179,0.017368585,0.011560372,-0.063681256,-0.02129755,-0.119116599,-0.052798115,-0.059214718,-0.045642522,-0.030711507,-0.027859235,-0.021071807,-0.060146913,2.505612288
FRA,France,Euro,1983,1.24071794,0.005470977,9.459548,-0.005245958,-0.013312606,0.159643291,-0.029410267,0.000755009,-0.079162356,0.002435197,0.031692106,-0.037222995,0.52905033,-0.035191604,-0.036655548,-0.02506422,-0.031565639,-0.039808821,-0.014322054,-0.095216039,1.24071794
FRA,France,Euro,1984,1.513706588,0.005602907,7.673803,-0.01072811,-0.018579909,0.146669144,-0.03899244,-0.006655306,-0.018997998,-0.000483163,0.092077355,0.02604821,-0.074119161,-0.033427362,-0.043855185,-0.030983242,-0.050890727,-0.027745891,-0.028025074,-0.072517228,1.513706588
FRA,France,Euro,1985,1.623036586,0.005627319,5.831099,-0.006484226,-0.01303736,0.028163656,0.052633634,0.006001019,0.015696394,0.020192083,0.049053725,0.065020942,-0.301938541,0.055757935,0.033405871,0.034248953,0.007610738,-0.014734361,0.037752348,0.015884469,1.623036586
FRA,France,Euro,1986,2.337638264,0.00567344,2.538527,0.000728698,-0.030969773,-0.229168811,0.328108079,-0.012237125,0.010432661,-0.010434885,-0.00572264,-0.051036727,-0.295827963,0.331328156,0.350926435,0.325589449,0.170316239,0.193689418,0.354113626,0.43499299,2.337638264
FRA,France,Euro,1987,2.561960643,0.005731173,3.288898,0.004177168,-0.008507087,-0.132164485,0.181179749,0.005805526,0.022258038,0.008586903,0.064351351,0.08073803,-0.557238362,0.187580644,0.182335063,0.162721611,0.101269102,0.111693634,0.194856057,0.196488453,2.561960643
FRA,France,Euro,1988,4.743193358,0.005661901,2.700817,0.005090625,-0.023755763,-0.008945146,0.037184353,-0.015141009,0.038719493,-0.0137605,0.008319221,0.019122686,0.806624092,0.033247833,0.046949891,0.030344575,0.066054734,0.047028309,0.041249638,0.063925293,4.743193358
FRA,France,Euro,1989,4.34377523,0.005433329,3.498302,0.007417368,-0.01049119,0.071043167,-0.0320622,-0.002087757,0.020368326,-0.015830329,0.002342802,0.018972077,0.306614999,-0.035947603,-0.013765252,-0.041880306,0.022602711,0.016385697,-0.043256039,-0.087128656,4.34377523
FRA,France,Euro,1990,2.92412063,0.005099826,3.194282,0.003032616,0.009055984,-0.146527572,0.210012527,0.029406789,-0.010796375,-0.045206226,0.116642019,0.121311284,-0.032079388,0.173872794,0.230340557,0.269205341,0.064249014,0.065383959,0.196449703,0.145788287,2.92412063
FRA,France,Euro,1991,1.048313952,0.0047509,3.213407,-0.003641568,0.002195421,0.036149078,-0.011515175,-0.007842513,-0.034257332,0.023579565,-0.062949408,-0.090040693,0.018329787,-0.006394651,-0.010311182,-0.012109182,0.071780347,0.075264615,-0.008561845,-0.052647349,1.048313952
FRA,France,Euro,1992,1.599382159,0.004460527,2.36376,-0.011132596,-0.002429924,-0.061732299,0.090880571,-0.002617438,-0.032740379,0.027392319,0.168662551,0.132390777,0.100683162,0.094826827,0.049336853,0.091420741,-0.08103215,-0.096909827,0.07288485,0.049679431,1.599382159
FRA,France,Euro,1993,-0.628690868,0.004239233,2.104463,-0.0145137,0.003072221,0.06978221,-0.050867666,0.003946644,-0.086472694,0.03070807,-0.098360161,-0.138548871,0.085169947,-0.050202817,-0.075359335,-0.031578218,-0.008253881,-0.019014215,-0.063900053,-0.12527873,-0.628690868
FRA,France,Euro,1994,2.358406981,0.004119343,1.655515,0.001380101,-0.003376561,-0.019632789,0.030099841,-0.005194479,0.015287709,-0.014354227,0.075469475,0.05885028,-0.102905478,0.028640436,0.054769308,0.035155637,0.026743307,0.048309314,0.026034033,-0.00954008,2.358406981
FRA,France,Euro,1995,2.106716832,0.004097331,1.796481,0.006442921,0.004746427,-0.10096505,0.129714786,0.01044676,-0.009082417,-0.026752697,0.115146881,0.099226396,-0.196469935,0.112111664,0.151054123,0.160288102,0.075137734,0.071456446,0.118048239,0.101481422,2.106716832
FRA,France,Euro,1996,1.413117579,0.004037794,1.982884,0.002198954,0.005168139,0.024850332,-0.01393611,0.024340319,-0.076008265,-0.013844385,0.003875287,-0.008594609,0.338394115,-0.030054642,0.020831601,0.012549332,-0.02065928,-0.001076417,-0.001172018,-0.036603109,1.413117579
FRA,France,Euro,1997,2.336359907,0.004018593,1.203943,0.004263297,-0.010174703,0.140976639,-0.152431742,-0.01971006,-0.059751697,0.043708109,-0.016945317,-0.05321194,0.565071771,-0.150948711,-0.106391682,-0.190304927,-0.050456668,-0.039383066,-0.077587577,-0.083379204,2.336359907
FRA,France,Euro,1998,3.588775516,0.004258523,0.6511269,0.013823906,-0.007601998,0.010763632,-0.032222626,-0.00219052,0.016462515,-0.005399982,0.056479041,0.056977556,-0.085436665,-0.033252983,0.012234349,-0.059640011,-0.058273954,-0.052030454,0.032972938,0.0860417,3.588775516
