countrycode,country,currency_unit,year,GDP,net population growth,CPI,employment rate,labsh,xr,pl_gdpo,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GDP
JPN,Japan,Yen,1979,,116.8674,,0.505255871,0.620528,219.14,0.43701,0.473086,0.398253,0.15318,0.114067,-0.13645,-0.00213356,0.482394,0.375527,0.413489,0.374152,0.335963,0.336669,1.20638,
JPN,Japan,Yen,1980,2.817592,0.008124592,7.758333,-0.000985432,0,226.7408,-0.007402577,-0.023579222,-0.024328756,0.002630892,0.149026449,-0.009820447,-0.982585913,0.019092277,0.009485337,0.001675982,0.038754303,0.2149195,0.057991677,-0.045856198,2.817592
JPN,Japan,Yen,1981,4.176879,0.007773927,4.941667,0.000418848,-0.002118,220.5358,0.106018097,0.00111272,-0.035940025,0.007683142,0.092960798,-0.008067501,26.91139581,0.096172936,0.106763847,0.099053073,0.074735239,0.030940691,0.090274093,-0.020976317,4.176879
JPN,Japan,Yen,1982,3.376506,0.007348433,2.75,0.001303281,0.004039,249.0767,-0.060990531,0.031145325,-0.045608771,-0.008419325,-0.014233857,-0.041710193,-0.421139419,-0.069842619,-0.051038941,-0.045598935,-0.065367802,-0.030639477,-0.006192899,-0.070058523,3.376506
JPN,Japan,Yen,1983,3.060805,0.006875113,1.9,0.008200855,0.003591,237.5117,0.118851859,0.033832584,-0.080788445,-0.000436596,0.057877927,-0.040566846,0.948824735,0.091114942,0.160417734,0.123268217,0.021363033,0.019455558,0.165765411,0.022856679,3.060805
JPN,Japan,Yen,1984,4.463899,0.006324962,2.266667,-0.00298798,-0.011219,237.5225,0.06188138,0.005850124,-0.028849987,-0.030738039,0.148201949,0.0889466,-0.11537278,0.043776295,0.091163115,0.07751355,0.009806036,-0.006822336,0.101747203,0.047609052,4.463899
JPN,Japan,Yen,1985,6.333357,0.005728228,2.083333,-0.000571578,-0.008834,238.5358,0.030119424,-0.011140129,0.006069246,-0.058522444,0.016056156,-0.072589059,0.197112737,0.03450239,0.022239986,0.069535517,-0.012003159,-0.006598015,0.034357682,0.010194568,6.333357
JPN,Japan,Yen,1986,2.831077,0.00513277,0.616667,-0.000989237,-0.009188,168.5198,0.386531775,-0.013409036,-0.004709004,-0.006458204,-0.088720829,-0.211186114,1.473613264,0.395756534,0.391189272,0.387447635,0.217334362,0.154151575,0.397803514,0.412882945,2.831077
JPN,Japan,Yen,1987,4.107427,0.004600475,0.108333,-0.000967481,-0.007982,144.6375,0.150329508,0.003282579,0.030096222,0.00383971,-0.066731732,0.004380603,0.235091418,0.146747854,0.152952515,0.139820196,0.108799035,0.112011455,0.150678184,0.152921218,4.107427
JPN,Japan,Yen,1988,7.146694,0.004158518,0.675,0.007306313,-0.008936,128.1517,0.103473175,-0.022091092,0.070232356,-0.034052734,-0.012947233,0.038036312,0.521116527,0.109227268,0.101210128,0.10888738,0.06570731,0.096279078,0.106396033,0.089465661,7.146694
JPN,Japan,Yen,1989,5.370153,0.003835432,2.291667,0.010659656,-0.00281,137.9644,-0.068824835,0.008296954,0.023822567,-0.011256702,-0.042064827,0.029118624,0.291597697,-0.077720425,-0.06814147,-0.067256449,0.014282494,0.026551294,-0.079661255,-0.166645308,5.370153
JPN,Japan,Yen,1990,5.572398,0.003600721,3.1,0.013151033,-0.003564,144.7925,-0.037826304,0.02976994,0.00801761,-0.061229235,-0.059688606,-0.007500949,0.187482014,-0.066501342,-0.027156197,0.022787037,0.041344769,0.052812498,-0.057890469,-0.098360079,5.572398
JPN,Japan,Yen,1991,3.324341,0.003410299,3.283333,0.016300786,0.009514,134.7067,0.072957498,-0.024520258,0.001182625,-0.002788186,-0.017977068,-0.117860901,-0.232325406,0.089403577,0.062820678,0.080225663,0.048111461,0.072109674,0.042956386,-0.016203649,3.324341
JPN,Japan,Yen,1992,0.819008,0.003213805,1.741667,0.007714707,0.008091,126.6513,0.055054644,0.008401753,-0.030967398,0.022944673,0.072420988,0.053681813,0.007657675,0.062416043,0.033556963,0.061513077,-0.026240434,-0.097287818,0.014250187,-0.059387585,0.819008
JPN,Japan,Yen,1993,0.171063,0.003000847,1.258333,0.000542768,0.004703,111.1978,0.105344067,0.000515706,-0.021726127,0.016470091,0.018539868,-0.014717991,-0.191494906,0.128408904,0.066934958,0.135753824,0.011177486,0.018307447,0.07711831,-0.013002628,0.171063
JPN,Japan,Yen,1994,0.8636,0.002750037,0.683333,-0.001641835,0.008141,102.2078,0.074492552,0.021394906,-0.038024753,0.041305504,0.033002016,0.075002612,0.019428973,0.071263469,0.075669595,0.060807144,0.035706041,0.03533208,0.033742767,-0.050734913,0.8636
JPN,Japan,Yen,1995,2.630977,0.002478321,-0.08333,0.00088858,-0.005192,94.05958,0.061752845,0.011677456,0.00953101,0.006170921,0.009628818,0.095423185,0.242505302,0.04886158,0.063763053,0.078643404,0.059407274,0.066427261,0.037800057,0.043165144,2.630977
JPN,Japan,Yen,1996,3.133893,0.002204716,0.133333,-0.001193033,-0.009621,108.7791,-0.15093315,0.007200948,0.042299624,-0.026319273,-0.082000461,0.005499867,0.213702668,-0.160758664,-0.158612632,-0.123076232,-0.032648511,-0.011248236,-0.145249404,-0.15118386,3.133893
JPN,Japan,Yen,1997,0.981229,0.001962981,1.708333,0.004796364,0.006381,120.9909,-0.094922817,-0.009485076,-0.0325328,0.037460821,0.085305571,0.007410675,-0.057204845,-0.083862855,-0.092197835,-0.11906011,-0.064702009,-0.04450364,-0.062164281,-0.125244452,0.981229
JPN,Japan,Yen,1998,-1.27033,0.001770787,0.658333,-0.014095889,0.001085,130.9053,-0.078891634,-0.005159948,-0.046569708,0.035525789,0.00503125,-0.114370786,0.045007127,-0.068717071,-0.080212708,-0.089704742,-0.075282327,-0.056174905,-0.058080495,-0.073206147,-1.27033
JPN,Japan,Yen,1999,-0.33395,0.001641789,-0.34167,-0.015260633,-0.004777,113.9068,0.128566225,0.010079912,-0.048499877,0.04589968,0.082257944,0.08207258,-0.028327139,0.140210653,0.128005999,0.116743191,-0.006990772,0.017081705,0.166613255,0.125641421,-0.33395
JPN,Japan,Yen,2000,2.764669,0.001555848,-0.65833,-0.009187656,-0.009843,107.7655,0.032659652,-0.016475632,-0.005835345,0.016427602,0.165663103,0.191994883,-0.266408459,0.04242663,0.045936762,0.036270404,-0.052419149,-0.008756371,0.078888702,0.136354543,2.764669
JPN,Japan,Yen,2001,0.386124,0.001486777,-0.73333,-0.006016522,0.000166,121.5289,-0.114326429,0.034470547,-0.012444593,0.055291037,-0.127631812,-0.016482674,-0.002616352,-0.130730474,-0.127686017,-0.126731049,-0.029920026,-0.060700504,-0.107831819,-0.099827777,0.386124
JPN,Japan,Yen,2002,0.041921,0.00140392,-0.90833,-0.013751353,-0.01247,125.388,-0.046806558,0.017597981,-0.06578449,0.02957156,0.024368775,-0.01457635,-0.043299871,-0.052746459,-0.05286745,-0.042908514,0.006929644,-0.020316417,-0.02450813,-0.051741824,0.041921
JPN,Japan,Yen,2003,1.535167,0.001292486,-0.25,-0.001308232,-0.006856,115.9335,0.063375801,-0.004271508,-0.016522225,0.026117177,0.033523414,0.044534093,-0.4612859,0.065020182,0.06991455,0.040095633,0.077996747,0.067827666,0.058249368,0.031364488,1.535167
JPN,Japan,Yen,2004,2.186095,0.001138543,-0.00833,0.004921245,-0.008622,108.1926,0.05549481,-0.007093089,-0.012702901,-0.001648981,0.103325581,0.079742522,-0.07500261,0.059464637,0.066944234,0.051985014,0.059135919,0.072150628,0.052916554,0.035571083,2.186095
JPN,Japan,Yen,2005,1.803901,0.000950827,-0.28333,0.007872337,-0.000161,110.2182,-0.043070161,0.005092408,-0.002043672,0.004034199,0.034905044,0.074905316,-0.464223232,-0.046252388,-0.02532203,-0.046161513,-0.015752906,0.022285024,-0.036529824,-0.107108213,1.803901
JPN,Japan,Yen,2006,1.37235,0.00075277,0.241667,0.007036524,-0.00015,116.2993,-0.056622797,0.007210097,-0.015450675,-0.005905675,0.055209882,0.065313846,-0.427533131,-0.05898911,-0.041851027,-0.059625552,0.020441669,0.043011178,-0.070280355,-0.114245056,1.37235
JPN,Japan,Yen,2007,1.483969,0.000555976,0.058333,0.007838221,-0.00351,117.7535,-0.018236148,0.00736592,-0.02939203,0.00650031,0.001737125,-0.019415692,0.665290492,-0.029011161,0.000654752,-0.024971846,0.085169064,0.079198764,-0.026261596,-0.048404372,1.483969
JPN,Japan,Yen,2008,-1.22429,0.000346319,1.383333,-0.001009625,0.014362,103.3595,0.137046604,0.027761041,0.005814467,0.026300537,0.039595566,0.194253592,-1.633696575,0.125515458,0.133447459,0.133455042,0.072257994,0.046718525,0.136583439,0.038725372,-1.22429
JPN,Japan,Yen,2009,-5.69324,0.000129144,-1.34167,-0.010637888,0.009344,93.57009,0.093033104,0.03434279,-0.115804184,0.078844702,-0.176003966,-0.193880753,-1.037250024,0.091201813,0.073822837,0.083525081,-0.049682808,-0.055312571,0.083791915,-0.007435819,-5.69324
JPN,Japan,Yen,2010,4.097918,-9.96E-05,-0.7,-0.001124075,-0.012992,87.77988,0.044506581,-0.020087957,-0.012246837,-0.010036696,0.246707604,0.189839746,-38.20542976,0.052427915,0.056159325,0.047405201,0.019048047,0.012901109,0.066035962,0.076239353,4.097918
JPN,Japan,Yen,2011,0.02381,-0.000337632,-0.275,0.000263796,0.012353,79.80702,0.099293474,0.010291975,0.052274695,0.064656242,0.016422576,0.172855663,-1.183337055,0.097541316,0.084211438,0.06941393,0.070111179,0.068953837,0.109890702,0.040582695,0.02381
JPN,Japan,Yen,2012,1.374731,-0.000586775,-0.04167,-0.002068895,-0.003583,79.79046,0.004610454,0.019593421,0.036337046,-0.007561437,-0.029958109,0.04700358,5.180262481,-0.008133453,-0.006442234,0.015505586,-0.001980054,-0.013031216,0.020898318,0.026294164,1.374731
JPN,Japan,Yen,2013,2.00512,-0.000851868,0.35,0.007437274,-0.006882,97.59566,-0.174921369,0.052014442,-0.06820159,-0.013568237,-0.132316546,-0.080595027,-0.805654446,-0.211431779,-0.093565658,-0.167151572,0.02381467,0.015180819,-0.145284743,-0.140379599,2.00512
JPN,Japan,Yen,2014,0.296187,-0.001134715,2.733333,0.007559396,0.001928,105.9448,-0.042650492,-0.01947441,0.044410025,0.023388967,-0.042077681,-0.002897851,-14.56724871,-0.03297555,-0.054693898,-0.065121015,0.016249022,0.0070485,-0.030455282,-0.067851826,0.296187
JPN,Japan,Yen,2015,1.560665,-0.001431708,0.8,0.005791291,-0.009197,121.044,-0.122491802,-0.038640619,-0.022208307,-0.006049998,-0.026319266,-0.201646888,-2.061342679,-0.115634569,-0.09856214,-0.131826837,-0.090220022,-0.075663319,-0.109733132,-0.098384225,1.560665
JPN,Japan,Yen,2016,0.753827,-0.001733014,-0.13333,0.01127676,0.009735,108.7929,0.144306126,-0.046131766,0.00388446,0.036363174,0.057871234,-0.007402014,-1.542740132,0.180812068,0.111208766,0.108755541,-0.004469701,-0.002636833,0.106028166,0.061394965,0.753827
JPN,Japan,Yen,2017,1.675313,-0.002039709,0.475,0.011413341,-0.00181,112.1661,-0.014052569,-0.005051179,0.026687315,0.018813072,0.062154017,0.127017115,0.751041627,-0.013505467,-0.015422161,-0.045883706,0.016270117,-0.021035074,0.026223106,-0.008908962,1.675313
JPN,Japan,Yen,2018,0.584086,-0.002356813,0.991667,0.018683436,0,110.4232,0.027978717,0.008954767,0.004958367,0.025570455,0.010861254,0.075604729,0.136301356,0.022565855,0.036308057,0.011568429,0.056268069,0.046042106,0.036778227,-0.029809388,0.584086
JPN,Japan,Yen,2019,-0.24035,-0.002687847,0.475,0.011542968,0,109.0097,0.01931746,-0.005177721,0.000650803,0.018089871,-0.050254057,-0.038422751,0.284028744,0.016340579,0.028077734,0.011237685,0.000130662,-0.004378891,0.022970534,0.014768418,-0.24035
