year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,4.160393209,4.134177699,4.186608718,8.329369546,,
1986,3.480640953,3.445157416,3.516124491,8.617786125,,
1987,3.94315982,3.813263218,4.073056423,8.915897063,,
1988,4.219115228,4.181817465,4.256412991,9.288319548,,
1989,3.64532067,3.615042452,3.675598887,9.629446844,,
1990,1.828190539,1.759698441,1.896682638,9.811054837,,
1991,0.019900573,-0.131068276,0.170869423,9.800432919,,
1992,3.384073646,3.280476299,3.487670993,10.14564734,,
1993,2.92177902,2.80821915,3.03533889,10.42483334,,
1994,3.920390116,3.845557695,3.995222537,10.84482832,,
1995,4.850062529,4.544782279,5.155342779,11.13592708,,
1996,2.686643915,2.618885201,2.754402628,11.55603722,,
1997,4.409401471,4.347661407,4.471141535,12.06995441,,
1998,4.549758173,4.519732712,4.579783635,12.61085668,,
1999,4.73943134,4.681958427,4.796904253,13.21548408,,
2000,4.039447345,3.991524336,4.087370354,13.75430044,,
2001,3.530359738,3.423171619,3.637547857,13.88556306,,
2002,2.408038471,2.278655813,2.537421129,14.12105428,,
2003,3.046661824,2.962276184,3.131047464,14.51590849,,
2004,3.70641989,3.663546949,3.74929283,15.0751415,,
2005,2.407287555,2.30684516,2.507729949,15.60024189,,
2006,2.659982758,2.572988633,2.746976882,16.03436708,,
2007,2.120733184,2.031265532,2.210200836,16.35673924,,
2008,0.10936622,0.047441959,0.17129048,16.37672529,,
2009,1.137374256,1.058606904,1.216141608,15.95094871,,
2010,2.019428937,1.900943784,2.13791409,16.38303706,,
2011,2.515506267,2.437632384,2.59338015,16.63695692,,
2012,2.221098781,2.182235807,2.259961756,17.01639393,,
2013,1.96908962,1.898770092,2.039409148,17.32981471,,
2014,2.344110207,2.311456046,2.376764368,17.72628204,,
2015,2.569128416,2.492495386,2.645761446,18.20602074,,
2016,1.757066229,1.716005311,1.798127147,18.50960105,,
2017,2.197636195,2.173063553,2.222208837,18.92711851,,
2018,2.066737991,1.976676997,2.156798985,19.47957402,,
2019,1.909877599,1.805494204,2.014260994,19.92543612,,
2020,2.265121788,2.147475895,2.382767681,20.37677151,20.35333005,20.40021297
2021,1.361640533,1.233935353,1.489345713,20.65422989,20.6282077,20.68025208
2022,1.612300203,1.471688618,1.752911787,20.98723808,20.95819584,21.01628032
2023,1.614830546,1.479389426,1.750271665,21.32614641,21.29772106,21.35457176
2024,0.750646029,0.647166552,0.854125505,21.48623028,21.4641621,21.50829847
2025,0.882210907,0.839309082,0.925112733,21.67578415,21.66656617,21.68500214
2026,1.102728701,0.979910805,1.225546598,21.91480924,21.8881875,21.94143099
2027,2.28111089,2.14146311,2.42075867,22.41471034,22.3841068,22.44531389
2028,3.930637894,3.66150909,4.199766698,23.29575144,23.235427,23.35607588
2029,4.039654583,3.730680995,4.348628172,24.23681933,24.16484161,24.30879705
2030,2.691878253,2.564600345,2.819156161,24.889245,24.85839688,24.92009312
2031,0.199852236,-0.116401435,0.516105908,24.93898671,24.86027356,25.01769987
