year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,6.224303063,6.078805523,6.369800604,2.767045767,,
1986,2.932653828,2.784320007,3.08098765,2.858193572,,
1987,1.905644071,1.481065262,2.33022288,2.99106703,,
1988,6.899962453,6.819645487,6.980279418,3.190321044,,
1989,5.584118028,5.513130279,5.655105777,3.347469412,,
1990,5.503737393,5.384542531,5.622932254,3.509518032,,
1991,3.335510238,3.245879528,3.425140948,3.633170889,,
1992,0.86511605,0.822333435,0.907898666,3.66589072,,
1993,0.197570721,0.087274587,0.307866855,3.649056227,,
1994,0.920219618,0.83937593,1.001063305,3.688589488,,
1995,2.407153431,2.271578501,2.54272836,3.785636263,,
1996,1.999301881,1.852410843,2.146192919,3.90427322,,
1997,0.731274287,0.612769553,0.849779021,3.942583071,,
1998,-1.032207214,-1.169440565,-0.894973864,3.892499236,,
1999,-0.128177866,-0.254213898,-0.002141834,3.879501015,,
2000,2.622946368,2.496564955,2.74932778,3.986755544,,
2001,3.814755683,3.521549715,4.10796165,4.002148544,,
2002,0.842110668,0.668245569,1.015975766,4.003827946,,
2003,1.546031362,1.475410953,1.616651771,4.06529173,,
2004,2.13321089,2.098438752,2.167983029,4.15416371,,
2005,3.223501975,3.019075705,3.427928245,4.229100705,,
2006,1.438985559,1.32200767,1.555963448,4.287138774,,
2007,1.332639769,1.165182173,1.500097365,4.350758602,,
2008,-1.169268881,-1.207209082,-1.131328681,4.297492743,,
2009,0.102723936,0.007438227,0.198009644,4.052826324,,
2010,2.382138675,2.288582244,2.475695107,4.21890782,,
2011,3.742229676,3.357807394,4.126651957,4.219912322,,
2012,1.681995535,1.565239379,1.798751691,4.277925609,,
2013,1.794069387,1.710324617,1.877814156,4.363702303,,
2014,0.455137282,0.341463511,0.568811053,4.37662783,,
2015,1.236175047,1.077047771,1.395302323,4.444930652,,
2016,0.768786637,0.746908576,0.790664698,4.478437728,,
2017,1.635826604,1.569439394,1.702213813,4.553466417,,
2018,2.689646276,2.481099091,2.898193461,4.580061761,,
2019,2.339482612,2.156077546,2.522887679,4.569053544,,
2020,2.79885528,2.613236353,2.984474208,4.69693474,4.688453712,4.705415768
2021,0.496611322,0.302267514,0.69095513,4.72026025,4.711132048,4.729388452
2022,2.723547974,2.402455802,3.044640147,4.848818802,4.833662416,4.863975188
2023,2.650847679,2.366612512,2.935082847,4.977353603,4.963571555,4.991135651
2024,0.797107063,0.67509413,0.919119995,5.01702844,5.010955425,5.023101455
2025,0.928329825,0.853199452,1.003460199,5.063603011,5.059833699,5.067372323
2026,1.763265422,1.704359221,1.822171623,5.152887772,5.149904996,5.155870548
2027,1.18947256,1.05722499,1.321720129,5.214179958,5.207365389,5.220994527
2028,1.484968671,1.333545716,1.636391626,5.291608897,5.283713432,5.299504363
2029,2.220852471,2.1110273,2.330677642,5.409127724,5.403316206,5.414939243
2030,1.942529164,1.755975212,2.129083116,5.514201608,5.504110666,5.524292549
2031,4.98216459,4.493005597,5.471323583,5.788928208,5.761954995,5.815901421
