year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,7.857895069,7.83814835,7.877641789,0.835794157,,
1986,7.502385482,7.474019643,7.530751322,0.898395139,,
1987,4.057465839,3.972442812,4.142488865,0.930108488,,
1988,0.040082003,-0.103664249,0.183828255,0.929550423,,
1989,3.091698031,2.929692196,3.253703867,0.958924216,,
1990,-4.253276114,-4.447804975,-4.058747253,0.917211013,,
1991,1.012404142,0.950944291,1.073863992,0.926678369,,
1992,-0.437314364,-0.565895337,-0.308733391,0.921636571,,
1993,4.919365393,4.900408258,4.938322528,0.967024315,,
1994,5.861455277,5.841549794,5.881360759,1.023622995,,
1995,1.600149827,0.994782383,2.20551727,1.066858718,,
1996,3.989223322,3.627113513,4.351333131,1.090424176,,
1997,3.317456779,3.254700821,3.380212737,1.127442398,,
1998,0.320328596,0.230663714,0.409993479,1.131254257,,
1999,0.509050589,0.404209723,0.613891454,1.13654782,,
2000,4.221608389,4.069882549,4.37333423,1.186418964,,
2001,5.651814996,5.415424666,5.888205326,1.202908959,,
2002,4.763530069,4.709020227,4.818039912,1.239639325,,
2003,1.688750747,1.392485463,1.985016031,1.25378149,,
2004,5.274824987,4.963984451,5.585665524,1.32599886,,
2005,6.890549976,6.663731624,7.117368328,1.368459095,,
2006,4.210981908,4.025240216,4.3967236,1.42267729,,
2007,5.973782768,5.864737744,6.082827792,1.50903196,,
2008,5.094764844,4.995754486,5.193775202,1.585904998,,
2009,0.252072134,-0.073500932,0.577645201,1.583909739,,
2010,-3.944678376,-4.45220621,-3.437150541,1.703150041,,
2011,1.04341895,0.996589764,1.090248136,1.770840429,,
2012,2.037475905,1.939778122,2.135173687,1.80486139,,
2013,2.867228915,2.706475184,3.027982646,1.859094274,,
2014,0.484113025,0.379802218,0.588423831,1.868463287,,
2015,-3.601801041,-3.713137125,-3.490464956,1.802212,,
2016,-2.972775362,-3.175918056,-2.769632669,1.743173032,,
2017,1.082832894,0.957659559,1.208006229,1.766232929,,
2018,3.092767903,2.883407879,3.302127926,1.797736638,,
2019,1.716627176,1.658194628,1.775059723,1.819683008,,
2020,0.626854707,0.534239579,0.719469835,1.831089777,1.829404475,1.832775079
2021,1.406230814,1.333690027,1.4787716,1.856839126,1.855510839,1.858167413
2022,0.429527588,0.332305096,0.526750081,1.864814762,1.863009497,1.866620027
2023,0.085499655,0.017636203,0.153363108,1.866409172,1.865143645,1.8676747
2024,-0.201261642,-0.233653725,-0.168869559,1.862652806,1.862048238,1.863257375
2025,-0.104541124,-0.138164043,-0.070918204,1.860705568,1.86007929,1.861331847
2026,-0.780030147,-0.817753954,-0.742306339,1.846191504,1.845489575,1.846893433
2027,-0.511183689,-0.556814812,-0.465552566,1.836754074,1.835911636,1.837596512
2028,1.283221989,1.238268034,1.328175944,1.860323706,1.859498013,1.8611494
2029,0.879800654,0.842282922,0.917318386,1.876690846,1.875992895,1.877388798
2030,3.561885674,3.380593528,3.74317782,1.943536429,1.940134136,1.946938722
2031,2.784049648,2.621074086,2.947025209,1.997645448,1.994477958,2.000812937
