year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,4.607813548,4.50445265,4.711174446,0.7770715,,
1986,2.32898319,2.179061232,2.478905149,0.79150825,,
1987,5.030145223,4.956904614,5.103385832,0.837235813,,
1988,4.355179827,4.296822879,4.413536775,0.886933375,,
1989,2.347814182,2.309846011,2.385782353,0.918179938,,
1990,0.062259538,-0.01439939,0.138918466,0.915724688,,
1991,-1.92812601,-2.052560511,-1.803691508,0.893206438,,
1992,0.962620082,0.92224332,1.002996844,0.90113375,,
1993,2.664368746,2.605143889,2.723593603,0.92814925,,
1994,4.440121755,4.358190706,4.522052804,0.979112688,,
1995,4.018966883,3.943606785,4.094326981,1.023227563,,
1996,4.252199797,4.193851515,4.31054808,1.05369125,,
1997,4.246936525,4.198122242,4.295750808,1.106804875,,
1998,4.081121464,3.969492664,4.192750264,1.136820125,,
1999,5.024491569,4.936697167,5.112285971,1.208894125,,
2000,5.107364266,5.036361649,5.178366882,1.2768755,,
2001,2.407096957,2.144219548,2.669974365,1.27241675,,
2002,0.458061362,0.267975672,0.648147051,1.278943,,
2003,1.884249129,1.807962598,1.960535661,1.3206335,,
2004,3.173416526,3.110128538,3.236704513,1.3772275,,
2005,4.340589076,4.299515971,4.381662181,1.436814125,,
2006,2.754413272,2.682564065,2.82626248,1.45952325,,
2007,2.138741945,2.073208056,2.204275835,1.4837535,,
2008,0.80758615,0.654414203,0.960758098,1.500647875,,
2009,0.551585885,0.346226875,0.756944896,1.408601375,,
2010,-1.73008913,-1.872997538,-1.587180721,1.4830115,,
2011,0.828465338,0.700507274,0.956423401,1.5524035,,
2012,1.739360026,1.670875026,1.807845025,1.57573975,,
2013,2.347701072,2.282710287,2.412691858,1.647212125,,
2014,2.699599399,2.542797535,2.856401263,1.6851105,,
2015,0.690240984,0.639503189,0.740978779,1.65969175,,
2016,1.194300947,1.072258667,1.316343227,1.6835135,,
2017,2.999090497,2.958788597,3.039392397,1.77127275,,
2018,4.490494631,4.336408183,4.644581078,1.81559075,,
2019,3.542894948,3.405757773,3.680032123,1.846581125,,
2020,2.279733264,2.199387715,2.360078814,1.888678249,1.887194603,1.890161895
2021,1.367448041,1.259741477,1.475154604,1.914504943,1.912470712,1.916539173
2022,1.770195817,1.64339608,1.896995555,1.948395429,1.945967842,1.950823017
2023,3.314136175,3.187266642,3.441005708,2.012967907,2.010495987,2.015439827
2024,0.151801864,0.040087854,0.263515875,2.01602363,2.013774863,2.018272397
2025,-0.715648222,-0.857825242,-0.573471203,2.001595993,1.99872967,2.004462315
2026,0.72260179,0.623537348,0.821666232,2.016059561,2.014076692,2.018042431
2027,0.244664255,0.179461055,0.309867455,2.020992138,2.019677603,2.022306673
2028,0.871854121,0.820110213,0.923598028,2.038612241,2.037566501,2.039657982
2029,1.405350132,1.368429115,1.442271149,2.067261881,2.066509204,2.068014557
2030,3.858907762,3.788883408,3.928932116,2.14703561,2.145588023,2.148483197
2031,6.475195671,6.251121476,6.699269867,2.286060367,2.281249414,2.29087132
