year,mean,LCI,UCI,GDP,LGDP,UGDP
1985,2.270912519,2.188294726,2.353530311,1.991089164,,
1986,2.212553828,2.125303402,2.299804253,2.036632127,,
1987,4.124092771,3.919811512,4.328374029,2.065188798,,
1988,3.60539439,3.535023941,3.675764839,2.141750213,,
1989,4.270458383,4.13784648,4.403070287,2.225204617,,
1990,5.075225998,4.988342804,5.162109192,2.342139255,,
1991,5.092656491,5.011944792,5.173368189,2.461781854,,
1992,1.95326289,1.900504045,2.006021734,2.509123804,,
1993,-0.727633635,-0.983006611,-0.472260658,2.484613432,,
1994,2.290357207,2.197708933,2.383005481,2.544042704,,
1995,0.613666118,0.465774375,0.761557861,2.58332645,,
1996,2.045846641,1.945654166,2.146039115,2.604143486,,
1997,1.923095063,1.818152159,2.028037967,2.650813925,,
1998,1.996556795,1.94464446,2.048469129,2.704199536,,
1999,1.945739115,1.867728205,2.023750025,2.755234844,,
2000,2.864238085,2.780829276,2.947646893,2.83548114,,
2001,2.317787013,2.230146995,2.40542703,2.883158862,,
2002,0.642835943,0.611022238,0.674649648,2.877450961,,
2003,-0.52387162,-0.635602584,-0.412140656,2.857305447,,
2004,1.153712094,1.127598039,1.17982615,2.890881304,,
2005,2.824016649,2.738775341,2.909257957,2.91203409,,
2006,3.652965626,3.503291399,3.802639854,3.023170179,,
2007,2.853332844,2.714203362,2.992462325,3.113153483,,
2008,1.019385138,0.955644855,1.083125421,3.143035994,,
2009,-1.458863355,-1.668333424,-1.249393286,2.964076669,,
2010,-1.694160467,-1.923079233,-1.465241702,3.087971591,,
2011,-0.713827376,-0.822435534,-0.605219218,3.209180426,,
2012,0.453617271,0.395279272,0.51195527,3.222610769,,
2013,0.544551207,0.469347722,0.619754692,3.236712633,,
2014,2.088579761,1.989494508,2.187665015,3.308229205,,
2015,1.527809704,1.476689637,1.57892977,3.357585719,,
2016,2.213257569,2.16872541,2.257789728,3.432459876,,
2017,2.549439416,2.432145246,2.666733585,3.524457734,,
2018,2.742673415,2.60350196,2.88184487,3.562734209,,
2019,3.578284362,3.370848477,3.785720247,3.600339162,,
2020,3.336904127,3.22212647,3.451681783,3.720479029,3.716346644,3.724611413
2021,2.826361925,2.777163694,2.875560155,3.825633231,3.823802821,3.827463641
2022,2.516460536,2.380984402,2.651936671,3.921903782,3.916720962,3.927086602
2023,2.482087129,2.341789832,2.622384426,4.019248851,4.013746526,4.024751176
2024,1.915083841,1.763489147,2.066678534,4.096220836,4.090127868,4.102313804
2025,2.789364828,2.689075834,2.889653822,4.210479379,4.206371321,4.214587438
2026,3.219897593,3.063765958,3.376029228,4.346052503,4.339478613,4.352626394
2027,4.656000544,4.473768651,4.838232436,4.548404732,4.540484838,4.556324625
2028,4.500896405,4.280477547,4.721315263,4.753123717,4.743098175,4.763149258
2029,4.241569038,4.058174619,4.424963456,4.954730741,4.946013777,4.963447704
2030,2.799227357,2.589852988,3.008601726,5.093424919,5.083050983,5.103798855
2031,-5.475201441,-6.266405785,-4.683997097,4.814549644,4.774250245,4.854849044
